<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2026.06.05	00:03:30.227	0.58674	0.58697			6
2026.06.05	00:04:00.031	0.58674				2
2026.06.05	00:04:30.417		0.58697			4
2026.06.05	00:05:00.213	0.58674				2
2026.06.05	00:05:30.600		0.58697			4
2026.06.05	00:06:00.059	0.58674				2
2026.06.05	00:06:30.740		0.58697			4
2026.06.05	00:07:00.219	0.58674				2
2026.06.05	00:07:30.904		0.58697			4
2026.06.05	00:08:00.081	0.58674				2
2026.06.05	00:08:31.066		0.58697			4
2026.06.05	00:08:48.826	0.58675	0.58701			6
2026.06.05	00:09:00.257	0.58675				2
2026.06.05	00:09:49.000		0.58701			4
2026.06.05	00:10:00.132	0.58675				2
2026.06.05	00:12:39.838	0.58675	0.58711			6
2026.06.05	00:13:00.240	0.58675				2
2026.06.05	00:13:18.267		0.58712			4
2026.06.05	00:13:20.978	0.58676	0.58717			6
2026.06.05	00:13:32.705	0.58677				2
2026.06.05	00:13:50.473		0.58722			4
2026.06.05	00:13:57.694	0.58678				2
2026.06.05	00:14:00.098	0.58678				2
2026.06.05	00:14:16.629	0.58679				2
2026.06.05	00:14:34.962	0.58681				2
2026.06.05	00:14:40.079	0.58678				2
2026.06.05	00:14:44.597	0.58677				2
2026.06.05	00:14:50.619		0.58722			4
2026.06.05	00:14:50.919	0.58675				2
2026.06.05	00:15:00.232	0.58675				2
2026.06.05	00:15:29.721	0.58676				2
2026.06.05	00:15:36.333	0.58675	0.58719			6
2026.06.05	00:15:37.529		0.58717			4
2026.06.05	00:16:00.092	0.58675				2
2026.06.05	00:16:18.737	0.58676				2
2026.06.05	00:16:26.568	0.58677				2
2026.06.05	00:16:37.695		0.58717			4
2026.06.05	00:16:39.808	0.58678				2
2026.06.05	00:17:00.248	0.58678				2
2026.06.05	00:17:06.557	0.58679				2
2026.06.05	00:17:08.056	0.58678				2
2026.06.05	00:17:17.696	0.58679				2
2026.06.05	00:17:24.918	0.58680				2
2026.06.05	00:17:33.940	0.58679				2
2026.06.05	00:17:34.240	0.58680				2
2026.06.05	00:17:37.850		0.58717			4
2026.06.05	00:17:48.067	0.58683				2
2026.06.05	00:17:50.778	0.58680				2
2026.06.05	00:17:51.080	0.58684				2
2026.06.05	00:17:51.676	0.58681				2
2026.06.05	00:18:00.107	0.58681				2
2026.06.05	00:18:25.066	0.58686				2
2026.06.05	00:18:25.361	0.58681				2
2026.06.05	00:18:28.980	0.58682				2
2026.06.05	00:18:38.005		0.58717			4
2026.06.05	00:18:47.016	0.58681				2
2026.06.05	00:18:48.215	0.58683				2
2026.06.05	00:18:56.638		0.58719			4
2026.06.05	00:19:00.239	0.58683				2
2026.06.05	00:19:02.643	0.58685				2
2026.06.05	00:19:03.848	0.58686				2
2026.06.05	00:19:22.507	0.58684				2
2026.06.05	00:19:22.810	0.58686				2
2026.06.05	00:19:28.818	0.58687				2
2026.06.05	00:19:36.035	0.58695				2
